1903,Boston Americans (1; 1–0),Pittsburgh Pirates (1; 0–1)
1905,New York Giants (1; 1–0),Philadelphia Athletics (1; 0–1)
1906,Chicago White Sox (1; 1–0),Chicago Cubs (1; 0–1)
1907,Chicago Cubs (2; 1–1),Detroit Tigers (1; 0–1)
1908,Chicago Cubs (3; 2–1),Detroit Tigers (2; 0–2)
1909,Pittsburgh Pirates (2; 1–1),Detroit Tigers (3; 0–3)
1910,Philadelphia Athletics (2; 1–1),Chicago Cubs (4; 2–2)
1911,Philadelphia Athletics (3; 2–1),New York Giants (2; 1–1)
1912,Boston Red Sox (2; 2–0),New York Giants (3; 1–2)
1913,Philadelphia Athletics (4; 3–1),New York Giants (4; 1–3)
1914,Boston Braves (1; 1–0),Philadelphia Athletics (5; 3–2)
1915,Boston Red Sox (3; 3–0),Philadelphia Phillies (1; 0–1)
1916,Boston Red Sox (4; 4–0),Brooklyn Robins (1; 0–1)
1917,Chicago White Sox (2; 2–0),New York Giants (5; 1–4)
1918,Boston Red Sox (5; 5–0),Chicago Cubs (5; 2–3)
1919,Cincinnati Reds (1; 1–0),Chicago White Sox (3; 2–1)
1920,Cleveland Indians (1; 1–0),Brooklyn Robins (2; 0–2)
1921,New York Giants (6; 2–4),New York Yankees (1; 0–1)
1922,New York Giants (7; 3–4),New York Yankees (2; 0–2)
1923,New York Yankees (3; 1–2),New York Giants (8; 3–5)
1924,Washington Senators (1; 1–0),New York Giants (9; 3–6)
1925,Pittsburgh Pirates (3; 2–1),Washington Senators (2; 1–1)
1926,St. Louis Cardinals (1; 1–0),New York Yankees (4; 1–3)
1927,New York Yankees (5; 2–3),Pittsburgh Pirates (4; 2–2)
1928,New York Yankees (6; 3–3),St. Louis Cardinals (2; 1–1)
1929,Philadelphia Athletics (6; 4–2),Chicago Cubs (6; 2–4)
1930,Philadelphia Athletics (7; 5–2),St. Louis Cardinals (3; 1–2)
1931,St. Louis Cardinals (4; 2–2),Philadelphia Athletics (8; 5–3)
1932,New York Yankees (7; 4–3),Chicago Cubs (7; 2–5)
1933,New York Giants (10; 4–6),Washington Senators (3; 1–2)
1934,St. Louis Cardinals (5; 3–2),Detroit Tigers (4; 0–4)
1935,Detroit Tigers (5; 1–4),Chicago Cubs (8; 2–6)
1936,New York Yankees (8; 5–3),New York Giants (11; 4–7)
1937,New York Yankees (9; 6–3),New York Giants (12; 4–8)
1938,New York Yankees (10; 7–3),Chicago Cubs (9; 2–7)
1939,New York Yankees (11; 8–3),Cincinnati Reds (2; 1–1)
1940,Cincinnati Reds (3; 2–1),Detroit Tigers (6; 1–5)
1941,New York Yankees (12; 9–3),Brooklyn Dodgers (3; 0–3)
1942,St. Louis Cardinals (6; 4–2),New York Yankees (13; 9–4)
1943,New York Yankees (14; 10–4),St. Louis Cardinals (7; 4–3)
1944,St. Louis Cardinals (8; 5–3),St. Louis Browns (1; 0–1)
1945,Detroit Tigers (7; 2–5),Chicago Cubs (10; 2–8)
1946,St. Louis Cardinals (9; 6–3),Boston Red Sox (6; 5–1)
1947,New York Yankees (15; 11–4),Brooklyn Dodgers (4; 0–4)
1948,Cleveland Indians (2; 2–0),Boston Braves (2; 1–1)
1949,New York Yankees (16; 12–4),Brooklyn Dodgers (5; 0–5)
1950,New York Yankees (17; 13–4),Philadelphia Phillies (2; 0–2)
1951,New York Yankees (18; 14–4),New York Giants (13; 4–9)
1952,New York Yankees (19; 15–4),Brooklyn Dodgers (6; 0–6)
1953,New York Yankees (20; 16–4),Brooklyn Dodgers (7; 0–7)
1954,New York Giants (14; 5–9),Cleveland Indians (3; 2–1)
1955,Brooklyn Dodgers (8; 1–7),New York Yankees (21; 16–5)
1956,New York Yankees (22; 17–5),Brooklyn Dodgers (9; 1–8)
1957,Milwaukee Braves (3; 2–1),New York Yankees (23; 17–6)
1958,New York Yankees (24; 18–6),Milwaukee Braves (4; 2–2)
1959,Los Angeles Dodgers (10; 2–8),Chicago White Sox (4; 2–2)
1960,Pittsburgh Pirates (5; 3–2),New York Yankees (25; 18–7)
1961,New York Yankees (26; 19–7),Cincinnati Reds (4; 2–2)
1962,New York Yankees (27; 20–7),San Francisco Giants (15; 5–10)
